Message: Iniciamos el keep alive con (10.1.137.159,3001) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3036) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3040) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3001) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3013) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3014) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3032) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3040) | Type: Update. 
Message: El nodo(10.1.137.60,3036) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: El nodo(10.1.137.45,3014) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: El nodo(10.1.137.45,3032) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: El nodo(10.1.137.159,3003) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3001) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3013) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3040) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3001) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3013) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3014) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3040) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3001) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3003) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3007) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3013) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3014) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3032) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3036) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3040) | Type: KeepAlive. 
Message: El nodo(10.1.137.45,3014) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: El nodo(10.1.137.45,3013) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3001) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3013) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3014) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3032) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3040) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3001) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3013) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3014) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3032) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3040) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3001) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3003) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3007) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3013) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3014) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3032) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3036) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3040) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3001) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3013) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3014) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3032) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3040) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3001) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3013) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3014) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3032) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3040) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3001) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3013) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3014) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3032) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3040) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3001) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3003) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3007) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3013) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3014) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3032) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3036) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3040) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3001) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3013) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3014) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3032) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3040) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3001) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3013) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3014) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3032) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3040) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3001) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3013) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3014) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3032) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3040) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3001) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3013) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3007) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3003) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3014) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3032) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3036) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3040) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3001) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3013) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3014) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3032) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3040) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3001) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3013) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3014) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3032) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3040) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3001) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3003) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3007) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3013) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3014) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3032) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3036) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3040) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3013) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3014) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3032) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3040) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3001) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3014) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3007) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3013) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3003) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3032) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3036) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3040) | Type: KeepAlive. 
Message: El nodo(10.1.137.159,3007) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3001) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3013) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3014) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3032) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3040) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3001) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3013) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3014) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3032) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3040) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3001) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3003) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3007) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3013) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3014) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3032) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3036) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3040) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3001) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3003) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3007) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3013) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3014) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3032) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3036) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3040) | Type: KeepAlive. 
Message: El nodo(10.1.137.60,3040) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: El nodo(10.1.137.60,3036) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3001) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3013) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3014) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3032) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3040) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3001) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3013) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3014) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3032) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3040) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3001) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3003) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3007) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3013) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3014) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3032) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3036) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3040) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3001) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3013) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3014) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3032) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3040) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3001) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3003) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3007) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3013) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3014) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3032) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3036) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3040) | Type: KeepAlive. 
Message: El nodo(10.1.137.159,3001) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: El nodo(10.1.137.159,3003) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: El nodo(10.1.137.45,3013) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: El nodo(10.1.137.45,3014) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: El nodo(10.1.137.159,3007) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3001) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3013) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3014) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3032) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3001) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3013) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3014) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3032) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3001) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3003) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3007) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3013) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3014) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3032) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3036) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3040) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3001) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3013) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3014) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3032) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3001) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3013) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3014) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3032) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3040) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3001) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3013) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3014) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3032) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3040) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3001) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3003) | Type: KeepAlive. 
Message: Enviamos updates al Nodo (10.1.137.159,3001) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3007) | Type: KeepAlive. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.45,3013) | Type: KeepAlive. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.45,3014) | Type: KeepAlive. 
Message: Enviamos updates al Nodo (10.1.137.45,3013) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.45,3032) | Type: KeepAlive. 
Message: Enviamos updates al Nodo (10.1.137.45,3014) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.60,3036) | Type: KeepAlive. 
Message: Enviamos updates al Nodo (10.1.137.45,3032) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.60,3040) | Type: KeepAlive. 
Message: Enviamos updates al Nodo (10.1.137.60,3036) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3040) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3001) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
