Message: Iniciamos el keep alive con (10.1.137.45,3017) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3022) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3023) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3026) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3043) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3047) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3043) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.45,3017) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3022) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3023) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3026) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3043) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3047) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3017) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3043) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3047) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3017) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3022) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3023) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3043) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3047) | Type: Update. 
Message: El nodo(10.1.137.45,3026) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3017) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3022) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3023) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3043) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3047) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.45,3017) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3022) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3023) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3026) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3043) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3047) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3017) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3022) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3023) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3043) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3047) | Type: Update. 
Message: El nodo(10.1.137.45,3026) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3017) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3022) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3023) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3043) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3047) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.45,3017) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3022) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3023) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3026) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3043) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3047) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3017) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3022) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3023) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3043) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3047) | Type: Update. 
Message: El nodo(10.1.137.45,3026) estaba dormido, pero ha despertado | Type: KeepAlive. 
