Message: Iniciamos el keep alive con (10.1.137.159,3007) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3031) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3037) | Type: KeepAlive. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3012) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3014) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3017) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3037) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3012) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3014) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3017) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3028) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3030) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3031) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3037) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3012) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3014) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3017) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3028) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3030) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3031) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3037) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3007) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3012) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3014) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3017) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3028) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3030) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3031) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3037) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3012) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3014) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3017) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3028) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3030) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3031) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3037) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3012) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3014) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3017) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3028) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3030) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3031) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3037) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3012) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3014) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3017) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3028) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3030) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3031) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3037) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3007) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3012) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3014) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3017) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3028) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3030) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3031) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3037) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3012) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3014) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3017) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3012) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3014) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3017) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3028) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3007) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3012) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3014) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3017) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3028) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3030) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3031) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3037) | Type: KeepAlive. 
Message: El nodo(10.1.137.45,3031) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3012) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3014) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3017) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3028) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3030) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3031) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3012) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3014) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3017) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3028) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3030) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3031) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3037) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3007) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3012) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3014) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3017) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3028) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3030) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3031) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3037) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3012) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3014) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3017) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3028) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3030) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3031) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3037) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3012) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3014) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3017) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3028) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3030) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3031) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3037) | Type: Update. 
Message: El nodo(10.1.137.45,3012) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: El nodo(10.1.137.45,3030) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: El nodo(10.1.137.45,3028) estaba despierto, pero ha muerto | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3012) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3014) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3017) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3031) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3037) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3007) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3012) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3014) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3017) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3028) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3030) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3031) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3037) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3012) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3014) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3017) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3031) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.60,3037) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3007) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3012) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3014) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3017) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3028) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3030) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3031) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.60,3037) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3007) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3007) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3012) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3014) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3017) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3028) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3030) | Type: KeepAlive. 
