Message: Iniciamos el keep alive con (169.254.65.157,3014) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3016) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3023) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3018) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3025) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3030) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3033) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3035) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3036) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3040) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3041) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3045) | Type: KeepAlive. 
Message: El nodo(169.254.78.9,3036) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3036) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3040) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3041) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3045) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3014) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3016) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3018) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3036) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3040) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3041) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3045) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Iniciamos el keep alive con (169.254.65.157,3014) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3016) | Type: KeepAlive. 
