Message: Enviamos updates al Nodo (169.254.78.9,3005) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3016) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3028) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3032) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3037) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3000) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3005) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3016) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3028) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3032) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3037) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos el keep alive con (169.254.78.9,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3003) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3005) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3016) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3028) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3032) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3037) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3044) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3049) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3000) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3005) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3016) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3028) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3032) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3037) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3000) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3005) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3016) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3028) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3032) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3037) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3000) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3005) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3016) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3028) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3032) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3037) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos el keep alive con (169.254.78.9,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3003) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3005) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3016) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3028) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3032) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3037) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3044) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3049) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3000) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3005) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3016) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3028) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3032) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3037) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3000) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3005) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3016) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3028) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3032) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3037) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3000) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3005) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3016) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3028) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3032) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3037) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos el keep alive con (169.254.78.9,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3003) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3005) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3016) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3028) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3032) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3037) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3044) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3049) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3000) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3005) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3016) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3028) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3032) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3037) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3000) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3005) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3016) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3028) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3032) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3037) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3000) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3005) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3016) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3028) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3032) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3037) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos el keep alive con (169.254.78.9,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3003) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3005) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3016) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3028) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3032) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3037) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3044) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3049) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3000) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3005) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3016) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3028) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3032) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3037) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3000) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3005) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3016) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3028) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3032) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3037) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3000) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3005) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3016) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3028) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3032) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3037) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos el keep alive con (169.254.78.9,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3003) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3005) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3016) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3028) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3032) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3037) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3044) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3049) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3000) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3005) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3016) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3028) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3032) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3037) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3000) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3005) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3016) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3028) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3032) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3037) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3000) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3005) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3016) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3028) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3032) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3037) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos el keep alive con (169.254.78.9,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3003) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3005) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3016) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3028) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3032) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3037) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3044) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3049) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3000) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3005) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3016) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3028) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3032) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3037) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3000) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3005) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3016) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3028) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3032) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3037) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3000) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3005) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3016) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3028) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3032) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3037) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos el keep alive con (169.254.78.9,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3003) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3005) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3016) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3028) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.65.157,3032) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3037) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3044) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (169.254.78.9,3049) | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3000) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3003) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3005) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3016) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3028) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.65.157,3032) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3037) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3044) | Type: Update. 
Message: Enviamos updates al Nodo (169.254.78.9,3049) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3003) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3005) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3016) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3028) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.45,3032) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3037) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3044) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3049) | Type: KeepAlive. 
Message: El nodo(10.1.137.159,3000) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: El nodo(10.1.137.159,3003) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: El nodo(10.1.137.159,3005) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: El nodo(10.1.137.159,3037) estaba dormido, pero ha despertado | Type: KeepAlive. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3000) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3005) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3037) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3044) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3049) | Type: Update. 
Message: Iniciamos los updates | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3000) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3003) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3005) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.45,3016) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3037) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3044) | Type: Update. 
Message: Enviamos updates al Nodo (10.1.137.159,3049) | Type: Update. 
Message: Iniciamos el keep alive con (10.1.137.159,3000) | Type: KeepAlive. 
Message: Iniciamos el keep alive con (10.1.137.159,3003) | Type: KeepAlive. 
